trade_date,gross_return,net_return,trading_cost,turnover,holdings_count,long_exposure,short_exposure,net_exposure,gross_exposure,holding_cells,valid_holding_cells,asset_return_coverage,nav_gross,nav_net,drawdown_net,drawdown_gross,is_win_day,is_loss_day
2024-01-02,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,,1.0,1.0,0.0,0.0,0,0
2024-01-03,-0.0034314941420697655,-0.003931494142069763,0.0004999999999999973,0.9999999999999947,100,0.999999999999995,0.0,0.999999999999995,0.999999999999995,100,100,1.0,0.9965685058579302,0.9960685058579303,-0.003931494142069725,-0.0034314941420697798,0,1
2024-01-04,-0.007092000811535914,-0.0071679883054011975,7.598749386528333e-05,0.15197498773056667,100,0.9999999999999944,0.0,0.9999999999999944,0.9999999999999944,100,100,1.0,0.9895008412056346,0.9889286984565622,-0.011071301543437828,-0.01049915879436536,0,1
2024-01-05,-0.00451034858943324,-0.004587741036130056,7.739244669681552e-05,0.15478489339363102,100,0.9999999999999953,0.0,0.9999999999999953,0.9999999999999953,100,100,1.0,0.9850378474822599,0.9843917496848463,-0.015608250315153671,-0.014962152517740135,0,1
2024-01-08,-0.003150590108768498,-0.0032337116436036203,8.312153483512198e-05,0.16624306967024396,100,0.999999999999995,0.0,0.999999999999995,0.999999999999995,100,100,1.0,0.9819343969832196,0.9812085106220231,-0.018791489377976922,-0.018065603016780396,0,1
2024-01-09,0.0015154841070792724,0.0014326296641215977,8.285444295767465e-05,0.1657088859153493,100,0.9999999999999952,0.0,0.9999999999999952,0.9999999999999952,100,100,1.0,0.9834225029560422,0.9826142190410287,-0.017385780958971253,-0.016577497043957834,1,0
2024-01-10,-0.019801107867229124,-0.019879348880460005,7.82410132308821e-05,0.1564820264617642,100,0.9999999999999944,0.0,0.9999999999999944,0.9999999999999944,100,100,1.0,0.9639496478959492,0.9630804881658114,-0.03691951183418862,-0.03605035210405083,0,1
2024-01-11,7.475934039874289e-05,3.512886853637351e-06,7.124645354510554e-05,0.1424929070902111,100,0.9999999999999953,0.0,0.9999999999999953,0.9999999999999953,100,100,1.0,0.9640217121358035,0.9630838713585972,-0.03691612864140281,-0.035978287864196545,1,0
2024-01-12,0.0018645198465648326,0.0017929626380606685,7.155720850416404e-05,0.14311441700832808,100,0.9999999999999951,0.0,0.9999999999999951,0.9999999999999951,100,100,1.0,0.9658191497506,0.964810644757262,-0.03518935524273803,-0.034180850249399986,1,0
2024-01-15,0.008379675248376775,0.008309260618165478,7.041463021129737e-05,0.14082926042259472,100,0.9999999999999949,0.0,0.9999999999999949,0.9999999999999949,100,100,1.0,0.9739124005741733,0.9728275078517302,-0.027172492148269778,-0.026087599425826724,1,0
2024-01-16,0.010651332435867697,0.010571361746815331,7.997068905236551e-05,0.15994137810473102,100,0.9999999999999949,0.0,0.9999999999999949,0.9999999999999949,100,100,1.0,0.9842858653161027,0.9831116193544837,-0.016888380645516343,-0.015714134683897263,1,0
2024-01-17,-0.0006025852635601545,-0.0006855969907337918,8.301172717363729e-05,0.16602345434727456,100,0.999999999999995,0.0,0.999999999999995,0.999999999999995,100,100,1.0,0.9836927491585327,0.9824376009866989,-0.017562399013301144,-0.016307250841467336,0,1
